Nr probki	Sygnal pomiarowy
1436	1,45507813
1437	1,44042969
1438	1,41601563
1439	1,45263672
1440	1,47460938
1441	1,45507813
1442	1,40625
1443	1,31591797
1444	1,65771484
1445	1,83105469
1446	1,875
1447	1,91162109
1448	1,87988281
1449	1,84326172
1450	1,74316406
1451	1,73583984
1452	1,796875
1453	1,81884766
1454	1,83105469
1455	1,85791016
1456	1,86035156
1457	1,89208984
1458	1,87011719
1459	1,875
1460	1,87011719
1461	1,88232422
1462	1,89697266
1463	1,90185547
1464	1,91894531
1465	1,93115234
1466	1,93115234
1467	1,94335938
1468	1,96533203
1469	1,98242188
1470	1,97998047
1471	1,98486328
1472	1,98486328
1473	1,99707031
1474	2,03613281
1475	1,99462891
1476	2,02148438
1477	2,02636719
1478	1,99951172
1479	1,99707031
1480	2,00683594
1481	1,97509766
1482	1,97753906
1483	1,96533203
1484	2,00927734
1485	2,01904297
1486	2,01171875
1487	2,00683594
1488	2,00195313
1489	2,00439453
1490	1,99951172
1491	1,98486328
1492	1,97021484
1493	1,97021484
1494	1,96777344
1495	1,97753906
1496	1,97509766
1497	1,97998047
1498	1,97265625
1499	1,97998047
1500	1,97753906
1501	1,96289063
1502	1,99951172
1503	2,01171875
1504	2,02880859
1505	2,02880859
1506	2,02636719
1507	2,00195313
1508	2,03369141
1509	2,03369141
1510	2,02636719
1511	2,00927734
1512	2,01416016
1513	2,01416016
1514	2,02392578
1515	2,05078125
1516	2,07763672
1517	2,08496094
1518	2,04345703
1519	2,0703125
1520	2,08496094
1521	2,08984375
1522	2,09716797
1523	2,10205078
1524	2,08496094
1525	2,05322266
1526	2,08007813
1527	2,07519531
1528	2,06542969
1529	2,07763672
1530	2,10693359
1531	2,13623047
1532	2,14355469
1533	2,12158203
1534	2,13623047
1535	2,13867188
1536	2,12158203
1537	2,11425781
1538	2,07275391
1539	2,09472656
1540	2,09472656
1541	2,10693359
1542	2,10693359
1543	2,13378906
1544	2,13378906
1545	2,13378906
1546	2,11425781
1547	2,13867188
1548	2,16064453
1549	2,19238281
1550	2,18017578
1551	2,1875
1552	2,19482422
1553	2,19238281
1554	2,17773438
1555	2,19726563
1556	2,19482422
1557	2,18017578
1558	2,16796875
1559	2,17285156
1560	2,18505859
1561	2,17773438
1562	2,16796875
1563	2,22412109
1564	2,2265625
1565	2,18994141
1566	2,17773438
1567	2,17773438
1568	2,16552734
1569	2,17529297
1570	2,18261719
1571	2,17773438
1572	2,17285156
1573	2,18261719
1574	2,19970703
1575	2,2265625
1576	2,21191406
1577	2,24365234
1578	2,23632813
1579	2,2265625
1580	2,19482422
1581	2,20947266
1582	2,20214844
1583	2,25830078
1584	2,27539063
1585	2,25585938
1586	2,29492188
1587	2,28271484
1588	2,28515625
1589	2,30957031
1590	2,28759766
1591	2,26806641
1592	2,23388672
1593	2,23144531
1594	2,2265625
1595	2,24121094
1596	2,25097656
1597	2,25830078
1598	2,24609375
1599	2,25341797
1600	2,2265625
1601	2,23144531
1602	2,25830078
1603	2,25585938
1604	2,30224609
1605	2,31933594
1606	2,28271484
1607	2,26074219
1608	2,26318359
1609	2,24365234
1610	2,21435547
1611	2,21435547
1612	2,22167969
1613	2,18994141
1614	2,18505859
1615	2,24365234
1616	2,265625
1617	2,27294922
1618	2,32666016
1619	2,28271484
1620	2,35595703
1621	2,41210938
1622	2,5
1623	2,42919922
1624	2,42919922
1625	2,39746094
1626	2,44140625
1627	2,42431641
1628	2,37304688
1629	2,37304688
1630	2,36816406
1631	2,40722656
1632	2,35595703
1633	2,33886719
1634	2,34863281
1635	2,34863281
1636	2,38769531
1637	2,39257813
1638	2,36572266
1639	2,35107422
1640	2,34130859
1641	2,29248047
1642	2,29003906
1643	2,26806641
1644	2,26318359
1645	2,23632813
1646	2,29003906
1647	2,33398438
1648	2,36083984
1649	2,40722656
1650	2,39013672
1651	2,33154297
1652	2,32910156
1653	2,3046875
1654	2,34375
1655	2,3828125
1656	2,36083984
1657	2,32910156
1658	2,30712891
